,Artist ID,Artist Name,Num Followers,Genres,Popularity
0,3lmszXxkp47K9kDCRRPU8p,Laddi Chahal,24504,"['desi pop', 'punjabi pop']",62
1,6nAMu7pGqdwUSsGMZPUvSk,40k,751,[],60
2,1rdQOMFFtoskDXXUVjiGo9,Shweta Mohan,750829,"['filmi', 'tamil pop']",71
3,3gBKY0y3dFFVRqicLnVZYz,Alka Yagnik,8427469,"['classic bollywood', 'desi pop', 'filmi', 'hare krishna', 'modern bollywood']",81
4,1i31OYo0s5VoMCaMRJFZkJ,The Paul,354,[],60
5,4gdMJYnopf2nEUcanAwstx,Anuv Jain,624884,"['hindi indie', 'indian indie', 'indian singer-songwriter']",69
6,5r2baeTwcCJnuIsDIlxUJo,Rashmi Virag,15217,['modern bollywood'],74
7,53XhwfbYqKCa1cC15pYq2q,Imagine Dragons,45939672,"['modern rock', 'rock']",90
8,6eUKZXaKkcviH0Ku9w2n3V,Ed Sheeran,110047675,"['pop', 'uk pop']",92
9,7bXgB6jMjp9ATFy66eO08Z,Chris Brown,18661040,"['dance pop', 'r&b']",91
10,56SjZARoEvag3RoKWIb16j,B Praak,5780216,"['desi pop', 'punjabi pop']",75
11,0GiAC4VvvYCypjRH6IiasK,Surya Ragunaathan,692,[],66
12,5wJ1H6ud777odtZl5gG507,Vishal Mishra,944014,"['desi pop', 'modern bollywood']",72
13,4tZwfgrHOc3mvqYlEYSvVi,Daft Punk,9224689,"['electro', 'filter house']",84
14,0m3D4grap8VFSzbJMqgNVk,Kumaar,6426,[],80
15,0C8ZW7ezQVs4URX5aX7Kqx,Selena Gomez,40380870,"['dance pop', 'pop', 'post-teen pop']",87
16,0y59o4v8uw5crbN9M3JiL1,Badshah,23541862,"['desi hip hop', 'desi pop', 'desi trap', 'modern bollywood']",78
17,7dGJo4pcD2V6oG8kP0tJRR,Eminem,66721366,"['detroit hip hop', 'hip hop', 'rap']",94
18,4f7KfxeHq9BiylGmyXepGt,Tanishk Bagchi,2658602,"['desi pop', 'modern bollywood']",82
19,74OaRjmyh0XyRZsQQQ5l7c,Jasleen Royal,1121858,"['desi pop', 'filmi', 'indian singer-songwriter', 'modern bollywood']",70
20,46pWGuE3dSwY3bMMXGBvVS,Rema,1923079,['nigerian pop'],83
21,3bWIy9AUrQdiNeS62Bp3OP,Shae Gill,648885,[],65
22,1sVmXkzX2ukc6QvasrDBES,Asees Kaur,1694208,"['desi pop', 'filmi', 'modern bollywood']",76
23,2kfi47LWmlXzQ3p3kWonfQ,Madhur Sharma,74032,"['desi pop', 'modern bollywood']",68
24,1Ik6g05IoSfFmpqi4Jg7Kc,VIRTUAL_AF,73,[],55
25,3TOhzLRYnkkul71yRBxIoM,Akhil Sachdeva,306158,"['desi pop', 'modern bollywood']",68
26,6DARBhWbfcS9E4yJzcliqQ,Karan Aujla,4078588,"['desi hip hop', 'desi pop', 'punjabi pop']",79
27,3Xt3RrJMFv5SZkCfUE8C1J,Kim Petras,863550,"['dance pop', 'electropop', 'pop', 'post-teen pop', 'transpop']",84
28,1sSYaQBOI71QZDZ9OWW3hp,Chani Nattan,68623,"['desi hip hop', 'desi pop', 'punjabi pop']",67
29,5uemEEtB1ZC3s1KM7gReeH,MC STAN,1635658,['desi hip hop'],74
30,5rQoBDKFnd1n6BkdbgVaRL,Guru Randhawa,14373938,"['desi hip hop', 'desi pop', 'modern bollywood']",73
31,1mBydYMVBECdDmMfE2sEUO,Sachin-Jigar,1301297,"['desi pop', 'filmi', 'gujarati pop', 'modern bollywood']",78
32,5gVozagAcRKYCeAVnlC3Nk,Vilen,267836,"['desi hip hop', 'desi pop', 'modern bollywood']",66
33,3NegWDGp038A3FIi3gSYzl,Ali Sethi,293546,"['pakistani pop', 'sufi']",65
34,7kjSuFGKhLm8b5qXoMhRkJ,Libianca,90605,[],74
35,4xd7mLI7urqrxELaXhAvzw,Shekhar Ravjiani,520282,"['desi pop', 'filmi', 'modern bollywood']",77
36,5XKFrudbV4IiuE5WuTPRmT,Stephen Sanchez,484125,"['gen z singer-songwriter', 'pop']",82
37,3FgHkfb3IqG4WKuVe1xCXM,Sukriti Kakar,495873,"['desi pop', 'modern bollywood']",71
38,6qjhYs5KNSoSU6fNJqDGIo,Sanjoy,49442,['desi pop'],64
39,2vJvM1hPBYqDoGBje0kRMd,Jassa Dhillon,590510,"['desi pop', 'punjabi pop']",67
40,2Yf4MRVpt0rcAd5y5h5ph1,Caralisa Monteiro,2402,['modern bollywood'],72
41,1SyKki7JI1AZNKwgNMkn25,Sachet-Parampara,459773,"['desi pop', 'modern bollywood']",69
42,4nJ0kto93jDLHQKmpGeYS8,Anvita Dutt,931,[],66
43,5VVN3xZw1i2qihfITZlvCZ,G. V. Prakash,5886807,"['filmi', 'tamil pop']",75
44,3nqS8jzqmsPKFJTp0BOIel,Ikky,23518,[],74
45,19LIHDDSHBD5NyYHI3gpzB,Shilpa Rao,1425252,"['filmi', 'modern bollywood']",75
46,1wRPtKGflJrBx9BmLsSwlU,Pritam,11867372,"['filmi', 'indian instrumental', 'modern bollywood']",89
47,6Mv8GjQa7LKUGCAqa9qqdb,Vishal-Shekhar,3501247,"['desi pop', 'filmi', 'modern bollywood']",80
48,6WOdPJmexxFINcKMkP2jMG,Sachet Tandon,885095,"['desi pop', 'modern bollywood']",74
49,4MJZBb8KABfKw0gzfgacpO,Raga,197409,['desi hip hop'],57
50,7jbG8tDQ5FmqBbTCj5dJdy,DG IMMORTALS,25562,"['desi hip hop', 'desi pop', 'haryanvi hip hop']",63
51,54BjV0qctcWp8xOip7uaJD,thiarajxtt,1768,[],62
52,4wwYGgSpeBtvk5WX6HBqzw,Aditya A,38314,"['desi pop', 'hindi indie']",66
53,4Lk9Mory8nRTolPO1TMMcN,Inderpal Moga,6776,[],67
54,3JGrxsZ6kfzJrfwsxwERhS,M.M.Manasi,40446,['tollywood'],66
55,0fhunuOz2OuOEr3YK5ctSm,Thalapathy Vijay,209914,['tamil pop'],66
56,1E6arsXf5Fgsnv9YpSzjpE,Parampara Tandon,174154,[],71
57,4YRxDV8wJFPHPTeXepOstw,Arijit Singh,70589567,"['desi pop', 'filmi', 'modern bollywood']",91
58,3OQRPFFS3OsltFjFAXu1kE,Parmish Verma,3122329,"['desi pop', 'punjabi pop']",65
59,4v9G79IPGEpwTbgB6TUUaY,DARK HORSE,42,[],55
60,6LEG9Ld1aLImEFEVHdWNSB,AP Dhillon,3324229,"['punjabi hip hop', 'punjabi pop']",79
61,2fMqTqiTxUDlmcOEPaQSsx,Amitabh Bhattacharya,56013,['modern bollywood'],81
62,7zfceKY7I04Tc0J2o7043h,Mansheel Gujral,1026,[],63
63,55kkrbuMkdzPGD7YGA6xrJ,Gurlez Akhtar,101585,['punjabi pop'],71
64,2FgHPfRprDaylrSRVf1UlN,Thaman S,5548085,"['filmi', 'new beat', 'tamil pop']",76
65,1n9EM0Y4A89vuRiA93gSS9,Kaifi Khalil,220029,['balochi pop'],70
66,7o2ZQYM7nTsaVdkXY38UAA,Em Beihold,297091,"['alt z', 'gen z singer-songwriter']",78
67,3hbwOFtgWSNfeRzF2o7Y65,Charan,2124,[],59
68,1Xyo4u8uXC1ZmMpatF05PJ,The Weeknd,59590626,"['canadian contemporary r&b', 'canadian pop', 'pop']",98
69,0V8aeNb0fnR2P8eZVrx3lI,Devika Badyal,745,[],64
70,5r3wPya2PpeTTsXsGhQU8O,Shubh,1112637,['punjabi hip hop'],76
71,5NHm4TU5Twz7owibYxJfFU,King,1939135,['hindi hip hop'],79
72,3tPQOjkxO3mrYrrgkTeXgH,Nikhita Gandhi,324494,"['desi pop', 'modern bollywood']",75
73,5DHi2MeoRgAwPE0A0qwRMl,Gurinder Gill,429582,['punjabi hip hop'],75
74,6hyCmqlpgEhkMKKr65sFgI,Yohani,151685,['sinhala indie'],70
75,0bRPtPZQkWHeG7MGk9eWlh,Romy,33998,"['desi pop', 'modern bollywood']",68
76,0OS0NZnK7TGIAWx8MkWNFN,Intense,83660,"['desi hip hop', 'desi pop', 'punjabi pop']",69
77,3ioOEaiQ1Zw6RMCesOOWfZ,Harjas Harjaayi,49938,['desi hip hop'],57
78,2wY79sveU1sp5g7SokKOiI,Sam Smith,21931185,"['pop', 'uk pop']",91
79,1tqysapcCh1lWEAc9dIFpa,Jubin Nautiyal,9166228,"['desi pop', 'filmi', 'hare krishna', 'modern bollywood']",80
80,74RGMjbSsFv5RLj8wVx9Yv,Sharn,10670,[],62
81,6CXEwIaXYfVJ84biCxqc9k,Vishal Dadlani,7425075,"['desi pop', 'filmi', 'modern bollywood']",79
