,Track Name,Track ID,Artist Names,Artist IDs,Track Popularity,Date Released,Date Added
0,Kahani Suno 2.0,4VsP4Dm8gsibRxB5I2hEkw,['Kaifi Khalil'],['1n9EM0Y4A89vuRiA93gSS9'],81,2022-05-31,2023-03-01T10:20:49Z
1,Apna Bana Le,1zhpW0PLYAhzF3X49GaAOX,"['Sachin-Jigar', 'Arijit Singh', 'Amitabh Bhattacharya']","['1mBydYMVBECdDmMfE2sEUO', '4YRxDV8wJFPHPTeXepOstw', '2fMqTqiTxUDlmcOEPaQSsx']",76,2022-12-06,2023-03-01T10:20:49Z
2,Maan Meri Jaan,1418IuVKQPTYqt7QNJ9RXN,['King'],['5NHm4TU5Twz7owibYxJfFU'],85,2022-10-12,2023-03-01T10:20:49Z
3,Jhoome Jo Pathaan,6FAYpZ4jve8vpvTwUvjK6H,"['Vishal-Shekhar', 'Arijit Singh', 'Sukriti Kakar', 'Vishal Dadlani', 'Shekhar Ravjiani', 'Kumaar']","['6Mv8GjQa7LKUGCAqa9qqdb', '4YRxDV8wJFPHPTeXepOstw', '3FgHkfb3IqG4WKuVe1xCXM', '6CXEwIaXYfVJ84biCxqc9k', '4xd7mLI7urqrxELaXhAvzw', '0m3D4grap8VFSzbJMqgNVk']",82,2022-12-22,2023-03-01T10:20:49Z
4,"Besharam Rang (From ""Pathaan"")",0CtZpaOhtzvLV3FfcsVpQo,"['Vishal-Shekhar', 'Shilpa Rao', 'Caralisa Monteiro', 'Vishal Dadlani', 'Shekhar Ravjiani', 'Kumaar']","['6Mv8GjQa7LKUGCAqa9qqdb', '19LIHDDSHBD5NyYHI3gpzB', '2Yf4MRVpt0rcAd5y5h5ph1', '6CXEwIaXYfVJ84biCxqc9k', '4xd7mLI7urqrxELaXhAvzw', '0m3D4grap8VFSzbJMqgNVk']",82,2022-12-12,2023-03-01T10:20:49Z
5,Kesariya,4UMIv5jd9gK98a39BQRD9X,"['Pritam', 'Arijit Singh', 'Amitabh Bhattacharya']","['1wRPtKGflJrBx9BmLsSwlU', '4YRxDV8wJFPHPTeXepOstw', '2fMqTqiTxUDlmcOEPaQSsx']",73,2022-10-06,2023-03-01T10:20:49Z
6,Kali Kali Zulfon Ke (Lo-Fi),7oN0Wo7sCVvXPdpxoio3JM,['Madhur Sharma'],['2kfi47LWmlXzQ3p3kWonfQ'],76,2022-02-05,2023-03-01T10:20:49Z
7,Daku,3wz2vWhYnnBoFmgMkqtzLy,"['Chani Nattan', 'Inderpal Moga']","['1sSYaQBOI71QZDZ9OWW3hp', '4Lk9Mory8nRTolPO1TMMcN']",78,2021-01-16,2023-03-01T10:20:49Z
8,Tere Pyaar Mein,2ZD4aIEepqZsdxPxLSuUhm,"['Pritam', 'Arijit Singh', 'Amitabh Bhattacharya', 'Nikhita Gandhi']","['1wRPtKGflJrBx9BmLsSwlU', '4YRxDV8wJFPHPTeXepOstw', '2fMqTqiTxUDlmcOEPaQSsx', '3tPQOjkxO3mrYrrgkTeXgH']",77,2023-02-01,2023-03-01T10:20:49Z
9,Tu Aake Dekhle,0yCWDaAgOtg6TKlNCg9rwA,['King'],['5NHm4TU5Twz7owibYxJfFU'],79,2020-09-21,2023-03-01T10:20:49Z
