,Track Name,Track ID,Artist Names,Artist IDs,Track Popularity,Date Released,Date Added,track_id,analysis_url,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence
0,Kahani Suno 2.0,4VsP4Dm8gsibRxB5I2hEkw,['Kaifi Khalil'],['1n9EM0Y4A89vuRiA93gSS9'],81,2022-05-31,2023-03-01T10:20:49Z,4VsP4Dm8gsibRxB5I2hEkw,https://api.spotify.com/v1/audio-analysis/4VsP4Dm8gsibRxB5I2hEkw,0.909,0.577,173638,0.379,0.000586,11,0.0986,-13.235,1,0.0374,139.585,3,0.26
1,Apna Bana Le,1zhpW0PLYAhzF3X49GaAOX,"['Sachin-Jigar', 'Arijit Singh', 'Amitabh Bhattacharya']","['1mBydYMVBECdDmMfE2sEUO', '4YRxDV8wJFPHPTeXepOstw', '2fMqTqiTxUDlmcOEPaQSsx']",76,2022-12-06,2023-03-01T10:20:49Z,1zhpW0PLYAhzF3X49GaAOX,https://api.spotify.com/v1/audio-analysis/1zhpW0PLYAhzF3X49GaAOX,0.803,0.586,261702,0.562,5.52e-06,9,0.063,-7.399,1,0.0267,93.982,4,0.436
2,Maan Meri Jaan,1418IuVKQPTYqt7QNJ9RXN,['King'],['5NHm4TU5Twz7owibYxJfFU'],85,2022-10-12,2023-03-01T10:20:49Z,1418IuVKQPTYqt7QNJ9RXN,https://api.spotify.com/v1/audio-analysis/1418IuVKQPTYqt7QNJ9RXN,0.354,0.698,194654,0.505,0.0,6,0.0995,-8.242,0,0.0356,95.868,4,0.396
3,Jhoome Jo Pathaan,6FAYpZ4jve8vpvTwUvjK6H,"['Vishal-Shekhar', 'Arijit Singh', 'Sukriti Kakar', 'Vishal Dadlani', 'Shekhar Ravjiani', 'Kumaar']","['6Mv8GjQa7LKUGCAqa9qqdb', '4YRxDV8wJFPHPTeXepOstw', '3FgHkfb3IqG4WKuVe1xCXM', '6CXEwIaXYfVJ84biCxqc9k', '4xd7mLI7urqrxELaXhAvzw', '0m3D4grap8VFSzbJMqgNVk']",82,2022-12-22,2023-03-01T10:20:49Z,6FAYpZ4jve8vpvTwUvjK6H,https://api.spotify.com/v1/audio-analysis/6FAYpZ4jve8vpvTwUvjK6H,0.0964,0.817,208164,0.738,0.0,7,0.331,-7.639,1,0.0748,104.964,4,0.616
4,"Besharam Rang (From ""Pathaan"")",0CtZpaOhtzvLV3FfcsVpQo,"['Vishal-Shekhar', 'Shilpa Rao', 'Caralisa Monteiro', 'Vishal Dadlani', 'Shekhar Ravjiani', 'Kumaar']","['6Mv8GjQa7LKUGCAqa9qqdb', '19LIHDDSHBD5NyYHI3gpzB', '2Yf4MRVpt0rcAd5y5h5ph1', '6CXEwIaXYfVJ84biCxqc9k', '4xd7mLI7urqrxELaXhAvzw', '0m3D4grap8VFSzbJMqgNVk']",82,2022-12-12,2023-03-01T10:20:49Z,0CtZpaOhtzvLV3FfcsVpQo,https://api.spotify.com/v1/audio-analysis/0CtZpaOhtzvLV3FfcsVpQo,0.0587,0.773,258474,0.795,0.00237,8,0.154,-5.537,0,0.0412,115.997,4,0.649
5,Kesariya,4UMIv5jd9gK98a39BQRD9X,"['Pritam', 'Arijit Singh', 'Amitabh Bhattacharya']","['1wRPtKGflJrBx9BmLsSwlU', '4YRxDV8wJFPHPTeXepOstw', '2fMqTqiTxUDlmcOEPaQSsx']",73,2022-10-06,2023-03-01T10:20:49Z,4UMIv5jd9gK98a39BQRD9X,https://api.spotify.com/v1/audio-analysis/4UMIv5jd9gK98a39BQRD9X,0.572,0.577,268165,0.574,0.0,0,0.1,-6.525,1,0.0278,94.009,4,0.436
6,Kali Kali Zulfon Ke (Lo-Fi),7oN0Wo7sCVvXPdpxoio3JM,['Madhur Sharma'],['2kfi47LWmlXzQ3p3kWonfQ'],76,2022-02-05,2023-03-01T10:20:49Z,7oN0Wo7sCVvXPdpxoio3JM,https://api.spotify.com/v1/audio-analysis/7oN0Wo7sCVvXPdpxoio3JM,0.837,0.464,77143,0.491,1.39e-06,7,0.111,-7.039,1,0.0392,76.739,3,0.106
7,Daku,3wz2vWhYnnBoFmgMkqtzLy,"['Chani Nattan', 'Inderpal Moga']","['1sSYaQBOI71QZDZ9OWW3hp', '4Lk9Mory8nRTolPO1TMMcN']",78,2021-01-16,2023-03-01T10:20:49Z,3wz2vWhYnnBoFmgMkqtzLy,https://api.spotify.com/v1/audio-analysis/3wz2vWhYnnBoFmgMkqtzLy,0.325,0.847,131078,0.558,0.0,8,0.135,-5.855,0,0.0663,98.062,4,0.495
8,Tere Pyaar Mein,2ZD4aIEepqZsdxPxLSuUhm,"['Pritam', 'Arijit Singh', 'Amitabh Bhattacharya', 'Nikhita Gandhi']","['1wRPtKGflJrBx9BmLsSwlU', '4YRxDV8wJFPHPTeXepOstw', '2fMqTqiTxUDlmcOEPaQSsx', '3tPQOjkxO3mrYrrgkTeXgH']",77,2023-02-01,2023-03-01T10:20:49Z,2ZD4aIEepqZsdxPxLSuUhm,https://api.spotify.com/v1/audio-analysis/2ZD4aIEepqZsdxPxLSuUhm,0.111,0.679,265108,0.748,0.0,9,0.183,-5.487,0,0.054,118.945,4,0.406
9,Tu Aake Dekhle,0yCWDaAgOtg6TKlNCg9rwA,['King'],['5NHm4TU5Twz7owibYxJfFU'],79,2020-09-21,2023-03-01T10:20:49Z,0yCWDaAgOtg6TKlNCg9rwA,https://api.spotify.com/v1/audio-analysis/0yCWDaAgOtg6TKlNCg9rwA,0.515,0.77,270000,0.84,0.00452,11,0.145,-4.022,1,0.107,96.012,4,0.192
