,Artist ID,Related Artist ID,Related Artist Name
0,3lmszXxkp47K9kDCRRPU8p,2hmIpieYhZEQJDzlWpNMQg,Romey Maan
1,3lmszXxkp47K9kDCRRPU8p,3OQRPFFS3OsltFjFAXu1kE,Parmish Verma
2,3lmszXxkp47K9kDCRRPU8p,4j4SDkxwy0Z68dIh5Vr7fh,Bhindder Burj
3,3lmszXxkp47K9kDCRRPU8p,28kGdf2ant8i73Fab2F7xq,Amantej Hundal
4,3lmszXxkp47K9kDCRRPU8p,5wGjQPYmBAnDmtNeOMoavY,Tyson Sidhu
5,3lmszXxkp47K9kDCRRPU8p,0jdnMCU1yJPwoIErT6a4OS,Bunny Johal
6,3lmszXxkp47K9kDCRRPU8p,2ECA51juFyrh4DAuc8FucP,Gagan Kokri
7,3lmszXxkp47K9kDCRRPU8p,4Uf7FQlaAnd8APkdudp2cc,Deep Chahal
8,3lmszXxkp47K9kDCRRPU8p,7zCChitz4Xn1O7OqXjOhhR,Vicky
9,3lmszXxkp47K9kDCRRPU8p,0QntOArZgiNHoemAzwJPu5,Gur Sidhu
10,3lmszXxkp47K9kDCRRPU8p,48cVwD5hffidwvlxLCc2pm,Zehr Vibe
11,3lmszXxkp47K9kDCRRPU8p,4ZPiabRclxJHc90C0eY8xh,A Kay
12,3lmszXxkp47K9kDCRRPU8p,1mUl05hT77FrwVFW51wOlr,JERRY
13,3lmszXxkp47K9kDCRRPU8p,6rHyVOJFRsLEOo1aOd2zQG,Kahlon
14,3lmszXxkp47K9kDCRRPU8p,7KEQQy9VJpx2xaojUu2VTp,The Landers
15,3lmszXxkp47K9kDCRRPU8p,2NV7RSOqlCvigkJ9xMBxDW,Jaura Phagwara
16,3lmszXxkp47K9kDCRRPU8p,36HuUPCABTgaY4e8rgzSNG,Sukh Lotey
17,3lmszXxkp47K9kDCRRPU8p,0sYnCQ9Eb3RbEHOqVQST8d,Roop Bhullar
18,3lmszXxkp47K9kDCRRPU8p,41mbGEbwlzaCzy3sDVuFoj,Rav Aulakh
19,3lmszXxkp47K9kDCRRPU8p,3wsrcGXTRAukQgXrUHJMwC,Himmat Sandhu
20,1rdQOMFFtoskDXXUVjiGo9,6CWBs7ul78QwnBrcOCwhf5,Sagar
21,1rdQOMFFtoskDXXUVjiGo9,0rgZNEpt5nFXFE8i5qEQYW,Sudeep Kumar
22,1rdQOMFFtoskDXXUVjiGo9,4rJY6amSC7TWtV9oifBnrS,Job Kurian
23,1rdQOMFFtoskDXXUVjiGo9,2qJHWT6Ov9ZZvuQx1h7mNn,Madhu Balakrishnan
24,1rdQOMFFtoskDXXUVjiGo9,5a2WF7juQ5oilpZCqikRtP,Rahul Nambiar
25,1rdQOMFFtoskDXXUVjiGo9,7LnwWFXxll1g0R4MTJCUEH,Vidhu Prathap
26,1rdQOMFFtoskDXXUVjiGo9,65jsdEMz2d1jbIECHqAhFr,Jaspreet Jasz
27,1rdQOMFFtoskDXXUVjiGo9,7FaGCZiP3s6X7jQTB8EhfI,Naresh Iyer
28,1rdQOMFFtoskDXXUVjiGo9,6GIkpxZTzuInWGBdfgu7eb,Afsal
29,1rdQOMFFtoskDXXUVjiGo9,7zFlr6Y537SdALqy0Xfvth,Ranjith Govind
30,1rdQOMFFtoskDXXUVjiGo9,0vWyMSeg4ixQ98Srb8E4y5,Anitha Karthikeyan
31,1rdQOMFFtoskDXXUVjiGo9,1QvyquqkuuwUzdszyoKIy4,Haricharan
32,1rdQOMFFtoskDXXUVjiGo9,4k6mo3RrWfbYbqNcC9ZDQV,Elizabeth Raju
33,1rdQOMFFtoskDXXUVjiGo9,1jtuCB1QvOAOiyXxqxBeOz,Manjari
34,1rdQOMFFtoskDXXUVjiGo9,67ra8R8hw9NkDyBaJBS2j6,M. Jayachandran
35,1rdQOMFFtoskDXXUVjiGo9,2JEjaa7hWhE1BbL3OcoeFR,Sujatha
36,1rdQOMFFtoskDXXUVjiGo9,039dmmH0fdQTlvXC0zGlQx,Biju Narayanan
37,1rdQOMFFtoskDXXUVjiGo9,5wq0asvXF4jyJs8ydPPFzR,Ouseppachan
38,1rdQOMFFtoskDXXUVjiGo9,2L3mCbnau7Pb5wOSdzM5ln,K. G. Markose
39,1rdQOMFFtoskDXXUVjiGo9,0aUQnP4HhUQXcurZl9GJIA,Vijay Yesudas
40,3gBKY0y3dFFVRqicLnVZYz,2ZRrPOjBIWoKK5rHedLijj,Abhijeet
41,3gBKY0y3dFFVRqicLnVZYz,4K6blSRoklNdpw4mzLxwfn,Kumar Sanu
42,3gBKY0y3dFFVRqicLnVZYz,6nAVJkZZ55jorZmO5bpezv,Falguni Pathak
43,3gBKY0y3dFFVRqicLnVZYz,4Qpbhxe0sO2zhvUVfODdZw,Pankaj Udhas
44,3gBKY0y3dFFVRqicLnVZYz,03SZmfKAgYRQKUwy0EoJUa,Roop Kumar Rathod
45,3gBKY0y3dFFVRqicLnVZYz,4hkB2bR5ek6lJChj6aunCn,Anuradha Paudwal
46,3gBKY0y3dFFVRqicLnVZYz,0sSxphmGskGCKlwB9xa6WU,Himesh Reshammiya
47,3gBKY0y3dFFVRqicLnVZYz,71hjb5G92mGoKRSAW3Cj00,Anu Malik
48,3gBKY0y3dFFVRqicLnVZYz,3eDT9fwXKuHWFvgZaaYC5v,Sunidhi Chauhan
49,3gBKY0y3dFFVRqicLnVZYz,70B80Lwx2sxti0M1Ng9e8K,Udit Narayan
50,3gBKY0y3dFFVRqicLnVZYz,2JSYASbWU5Y0fVpts3Eq7g,R. D. Burman
51,3gBKY0y3dFFVRqicLnVZYz,5cB4d4jPYjMT326sjihQ4m,Shaan
52,3gBKY0y3dFFVRqicLnVZYz,0kJO65h553i1iGsZutBuqz,Adnan Sami
53,3gBKY0y3dFFVRqicLnVZYz,4mBxoO0pAcMbAwuTcrcLMc,Alisha Chinai
54,3gBKY0y3dFFVRqicLnVZYz,1dVygo6tRFXC8CSWURQJq2,Sonu Nigam
55,3gBKY0y3dFFVRqicLnVZYz,2ijWbN5KykTYiBoVmhzCTU,Jagjit Singh
56,3gBKY0y3dFFVRqicLnVZYz,7guD32ltIhsA1tHdf7IVe0,Babul Supriyo
57,3gBKY0y3dFFVRqicLnVZYz,4etv0ut4ws0GbXBtolzf5e,Mukesh
58,3gBKY0y3dFFVRqicLnVZYz,0gXDpqwYNDODn7fB0RDN8J,Mohammed Rafi
59,3gBKY0y3dFFVRqicLnVZYz,5as8A4G47Ohu9NSWs3Je8U,Asha Bhosle
60,4gdMJYnopf2nEUcanAwstx,41Sw7HsskHGbJOJXhLUTEK,Osho Jain
61,4gdMJYnopf2nEUcanAwstx,4o0mCeiUIVdknPUMhpO0bd,Dream Note
62,4gdMJYnopf2nEUcanAwstx,0tC995Rfn9k2l7nqgCZsV7,Prateek Kuhad
63,4gdMJYnopf2nEUcanAwstx,3xZ9z6k4Suc2O8cAiwMt7h,Suzonn
64,4gdMJYnopf2nEUcanAwstx,7b6Ui7JVaBDEfZB9k6nHL0,The Local Train
65,4gdMJYnopf2nEUcanAwstx,43jHbOAD9UtOEO1la8CVHs,Vismay Patel
66,4gdMJYnopf2nEUcanAwstx,3ozYqVCLohfpXIhalkhM8D,Aditya Rikhari
67,4gdMJYnopf2nEUcanAwstx,0cPN6x5LmDIZjp6gFmAkqw,Twin Strings
68,4gdMJYnopf2nEUcanAwstx,5lMNphVhMLvhFmTWiKiLA2,Zaeden
69,4gdMJYnopf2nEUcanAwstx,15iD55LPew2DyTQDqoV0F1,Ashu Shukla
70,4gdMJYnopf2nEUcanAwstx,04hYGGSjYtLekuuJXEGrIl,When Chai Met Toast
71,4gdMJYnopf2nEUcanAwstx,6o0MDEgo8moHPwQ1QXIs4c,Anurag Vashisht
72,4gdMJYnopf2nEUcanAwstx,29ggvWc5EMcSk5RLQ5aXHr,Pratsofficial
73,4gdMJYnopf2nEUcanAwstx,5mWQT8CLTa4mAQAJdFjHb1,Abdul Hannan
74,4gdMJYnopf2nEUcanAwstx,6xlrAAgxcRlgCXnbg2hcFc,The Yellow Diary
75,4gdMJYnopf2nEUcanAwstx,3cqeO3muWIW5uSmUDNCmyT,Rekha Bhardwaj
76,4gdMJYnopf2nEUcanAwstx,1VFIeAFbzMVHmvGQtfE6OI,Deepak Rathore Project
77,4gdMJYnopf2nEUcanAwstx,74OaRjmyh0XyRZsQQQ5l7c,Jasleen Royal
78,4gdMJYnopf2nEUcanAwstx,6BWd8VpOoODhMOPks4sI6R,NAALAYAK
79,5r2baeTwcCJnuIsDIlxUJo,1mBydYMVBECdDmMfE2sEUO,Sachin-Jigar
80,5r2baeTwcCJnuIsDIlxUJo,4YRxDV8wJFPHPTeXepOstw,Arijit Singh
81,5r2baeTwcCJnuIsDIlxUJo,1wRPtKGflJrBx9BmLsSwlU,Pritam
82,5r2baeTwcCJnuIsDIlxUJo,1tqysapcCh1lWEAc9dIFpa,Jubin Nautiyal
83,5r2baeTwcCJnuIsDIlxUJo,2GoeZ0qOTt6kjsWW4eA6LS,Darshan Raval
84,5r2baeTwcCJnuIsDIlxUJo,0T1CMVkqffHlqEk4BcAph1,Tulsi Kumar
85,5r2baeTwcCJnuIsDIlxUJo,0NErdIJtuKBjtxKmlqaWdj,Divya Kumar
